Город_отправления;ст_отправления;Город_назначения;ст_назначения;дата_отправки;Транзитное_время
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;12.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;14.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;16.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;18.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;21.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;22.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;24.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Иркутск;ИРКУТСК-СОРТИРОВОЧНЫЙ;21.05.2023;6
Москва;ЭЛЕКТРОУГЛИ;Артем;УГЛОВАЯ;12.05.2023;12
Москва;ЭЛЕКТРОУГЛИ;Артем;УГЛОВАЯ;24.05.2023;12
Москва;ЭЛЕКТРОУГЛИ;Артем;УГЛОВАЯ;17.05.2023;12
Москва;ЭЛЕКТРОУГЛИ;Артем;УГЛОВАЯ;19.05.2023;12
Москва;ЭЛЕКТРОУГЛИ;Артем;УГЛОВАЯ;20.05.2023;12
Москва;ЭЛЕКТРОУГЛИ;Артем;УГЛОВАЯ;23.05.2023;12
Москва;ЭЛЕКТРОУГЛИ;Артем;УГОЛЬНАЯ;13.05.2023;14
Москва;ЭЛЕКТРОУГЛИ;Артем;УГОЛЬНАЯ;18.05.2023;14
Москва;ЭЛЕКТРОУГЛИ;Омск;КАРБЫШЕВО 1;13.05.2023;3
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;12.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;13.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;14.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;16.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;18.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;19.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;20.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;21.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;23.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Екатеринбург;АППАРАТНАЯ;25.05.2023;2
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;13.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;14.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;16.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;18.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;20.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;21.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;23.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Новосибирск;СЕЯТЕЛЬ;25.05.2023;4
Москва;ЭЛЕКТРОУГЛИ;Омск;КАРБЫШЕВО 1;17.05.2023;3
Москва;ЭЛЕКТРОУГЛИ;Омск;КАРБЫШЕВО 1;20.05.2023;3
Москва;ЭЛЕКТРОУГЛИ;Омск;КАРБЫШЕВО 1;24.05.2023;3
Москва;ЭЛЕКТРОУГЛИ;Красноярск;БАЗАИХА;23.05.2023;5
Москва;ЭЛЕКТРОУГЛИ;Иркутск;ИРКУТСК-СОРТИРОВОЧНЫЙ;17.05.2023;6
